主体,关系,对象
Guqin_(古琴_),作者,Prince_Lu
Archer's_Ring_(清___扳指),作者,Wen_Zhao
Goqing,作者,Chinese
Liberty,作者,Chinese_Painter
Pipa_(琵琶_),作者,Chinese
Dung-Chen,作者,Chinese
Saddle_(清____馬鞍一套),作者,Chinese
Sword_with_Scabbard_Mounts,作者,Chinese
Archer's_Ring_(清___扳指),作者,Chinese
Archer's_Ring_(清___扳指),作者,Chinese
Archer's_Ring_(清___扳指),作者,Chinese
Imperial_Seal_of_the_Prince_of_the_D?rbed_(Four_Children)_Banner,作者,Chinese
Archer's_Ring_with_Taoist_Symbols_(清___扳指),作者,Chinese
Sword_with_Scabbard_Mounts,作者,Chinese
Sword,作者,Chinese
Ceremonial_Armor_for_a_High_Ranking_Official,作者,Chinese
Ceremonial_Helmet,作者,Chinese
Imperial_Knife_with_Sheath,作者,Chinese
Imperial_Lapis_Lazuli_and_Jade-Hilted_Knife_with_Sheath,作者,Chinese
Imperial_Saddle_and_Stirrups_with_Bridle,作者,Chinese
Pair_of_Dagger-Axes_(Ge),作者,Chinese
Matchlock_Gun_with_Carved_Red_Lacquer_Stock,作者,Chinese
Ceremonial_Saddle,作者,Chinese
Swords_with_Scabbard_Mounts,作者,Chinese
Small_vase,作者,Chinese
Small_wine_pot_or_teapot,作者,Chinese
Small_covered_winepot_or_teapot,作者,Chinese
Small_vase,作者,Chinese
Covered_wine_pot_or_teapot,作者,Chinese
Small_vase,作者,Chinese
Censer_with_elephant-shaped_handles,作者,Chinese
Censer,作者,Chinese
"Jar,_Jun_ware",作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Small_covered_winepot_or_teapot,作者,Chinese
Small_vase,作者,Chinese
"Small_bowl,_Jun_ware",作者,Chinese
Small_bottle-shaped_vase,作者,Chinese
Small_vase,作者,Chinese
Small_vase,作者,Chinese
Small_ewer,作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Small_vase,作者,Chinese
Tazza,作者,Chinese
"Pyriform_vase,_possibly_an_imitation_of_Song_Guan_ware",作者,Chinese
Figure_of_lion_mounted_as_lamp,作者,Chinese
Censer,作者,Chinese
Small_covered_vase,作者,Chinese
Water_coupe,作者,Chinese
Fabric,作者,Chinese
Small_vase,作者,Chinese
Bird-cage_cup,作者,Chinese
Small_vase,作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Small_vase,作者,Chinese
"Deep_bowl,_Jun_ware",作者,Chinese
Small_wine_pot_or_teapot_with_a_lid,作者,Chinese
Bottom_of_a_vase,作者,Chinese
Large_dish,作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
"Foliate-rim_plate,_Jun_ware",作者,Chinese
Bowl,作者,Chinese
Bowl,作者,Chinese
"Quatrefoil_vase,_Jun_ware",作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
"Two-eared_jar,_Jun_ware",作者,Chinese
Vase:_Qingbai_Shufu-type_ware_(pair_with_1975.1.1670),作者,Chinese
Vase:_Qingbai_Shufu-type_ware_(pair_with_1975.1.1669),作者,Chinese
Censer,作者,Chinese
Amphora_vase,作者,Chinese
Water_pot,作者,Chinese
Covered_ewer,作者,Chinese
"Plate,_Jun_ware",作者,Chinese
"Plate,_Jun_ware",作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Small_vase,作者,Chinese
"Shallow_dish,_Jun-type_ware",作者,Chinese
"Two-eared_jar,_Jun_ware",作者,Chinese
"Shallow_dish,_Jun_ware",作者,Chinese
"Deep_bowl,_Jun_ware",作者,Chinese
Covered_teapot_or_wine_pot_(pair_with_1975.1.1704),作者,Chinese
"Miniature_incense_burner,_Jun_ware",作者,Chinese
Plate,作者,Chinese
"Deep_bowl,_Jun_ware",作者,Chinese
Small_stemcup,作者,Chinese
Dish,作者,Chinese
"Deep_bowl,_Jun_ware",作者,Chinese
Club-shaped_vase,作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Peach-shaped_wine_pot_or_teapot,作者,Chinese
Club-shaped_vase,作者,Chinese
Covered_teapot_or_wine_pot_(pair_with_1975.1.1705),作者,Chinese
Covered_wine_pot_or_teapot,作者,Chinese
Peach-shaped_wine_pot_or_teapot,作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Hexagonal_wine_pot_or_teapot,作者,Chinese
Water_pot,作者,Chinese
"Small_bowl,_Jun_ware",作者,Chinese
Peach-shaped_wine_pot_or_tea_pot_(pair_with_1975.1.1721),作者,Chinese
"Miniature_incense_burner,_Jun_ware",作者,Chinese
"Phoenix-head_ewer,_Tang_sancai_ware",作者,Chinese
Ewer,作者,Chinese
Small_covered_winepot_or_teapot_(similar_to_1975.1.1714-15_and_1975.1.1717),作者,Chinese
Ewer,作者,Chinese
Small_covered_winepot_or_teapot_(similar_to_1975.1.1714-16),作者,Chinese
Small_covered_wine_pot_or_teapot,作者,Chinese
Hexagonal_teapot_or_winepot_(pair_with_1975.1.1706),作者,Chinese
Covered_wine_pot_or_teapot,作者,Chinese
Covered_teapot_or_winepot_(pair_with_1975.1.1702),作者,Chinese
covered_teapot_or_wine_pot_(pair_with_1975.1.1703),作者,Chinese
Peach-shaped_wine_pot_or_teapot_(pair_with_1975.1.1722),作者,Chinese
Deep_bowl,作者,Chinese
Covered_ewer,作者,Chinese
Peach-Shaped_Wine_Pot_or_Tea_Pot,作者,Chinese
Panel_(see_also_1975.1.1932),作者,Chinese
"Wine_jar_(Guan),_Cizhou_ware",作者,Chinese
"Small_covered_winepot_or_teapot_(similar_to_1975.1.1714,_and_1975.1.16-17)",作者,Chinese
Vase,作者,Chinese
Panel_(see_also_1975.1.1933),作者,Chinese
Twelve_animals_of_the_Chinese_zodiac,作者,China
Bow,作者,Chinese
"Small_incense_burner,_'Ma_Jun'_or_'Soft_Jun'_ware",作者,Chinese
Tánggǔ_(堂鼓),作者,"Elevated_Tone_Workshop,_Guangzhou_(Canton)"
Teapot_(a)_and_saucer_(b),作者,Chinese
"Bulb_bowl,_Numbered_Jun_ware",作者,Chinese
Dizi,作者,probably_Chinese
Chairman_Mao,作者,Unknown
Wine_warmer_(Jue),作者,China
E-pa,作者,Xi_Zheng
Snaffle_Bit,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Figure_of_a_European_Merchant,作者,Amoy_Chinqua
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Soup_Plate,作者,Chinese
Sword_(Ral_gri),作者,Tibetan_or_Chinese
Se_(瑟_),作者,Fanfu_Lou_(Seal_of_Zha_Youci)
Xiao,作者,Chinese
Sanxian_(三弦_),作者,Chinese
Covered_Punch_Bowl,作者,"Chinese,_for_Swedish_market"
Teapot,作者,Chinese
Sanxian_(三弦_),作者,Chinese
Saying_of_Confucius,作者,Cho_Chun_Yung
Pickle_Dish,作者,Chinese
Cup,作者,Chinese
Bulb_Pot,作者,Chinese
Covered_Urn,作者,Chinese
Water_basin,作者,Chinese
Ewer,作者,Chinese
Saucer,作者,Chinese
Covered_Toddy_Jug,作者,Chinese
Cup,作者,Chinese
Plate,作者,Chinese
Tea_Caddy,作者,Chinese
Cup,作者,Chinese
Guglet,作者,Chinese
Cream_Pitcher,作者,Chinese
Plate,作者,Chinese
Platter,作者,Chinese
Punch_Bowl,作者,Chinese
Porringer,作者,Chinese
Punch_Bowl,作者,Chinese
Platter,作者,Chinese
Platter,作者,Chinese
Saucer,作者,Chinese
Vase,作者,Chinese
