主体,详情链接
Chair_Rug,https://art.nelson-atkins.org/objects/15259/chair-rug;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=0
Chair_Rug,https://art.nelson-atkins.org/objects/26631/chair-rug;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=1
Crowned_Shakyamuni_Buddha,https://art.nelson-atkins.org/objects/13786/crowned-shakyamuni-buddha;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=2
Lacquered_Table_with_Everted_Flanges,https://art.nelson-atkins.org/objects/10444/lacquered-table-with-everted-flanges;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=3
Rug,https://art.nelson-atkins.org/objects/16447/rug;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=4
Vase,https://art.nelson-atkins.org/objects/19482/vase;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=5
Varapala,https://art.nelson-atkins.org/objects/9406/varapala;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=6
Vase,https://art.nelson-atkins.org/objects/7427/vase;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=7
Ceiling_Relief_of_a_Flying_Apsara,https://art.nelson-atkins.org/objects/22804/ceiling-relief-of-a-flying-apsara;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=8
Buddhist_Stele_with_Scenes_from_the_Lotus_Sutra,https://art.nelson-atkins.org/objects/29963/buddhist-stele-with-scenes-from-the-lotus-sutra;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=9
Samantabhadra_Bodhisattva,https://art.nelson-atkins.org/objects/29985/samantabhadra-bodhisattva;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=10
Manjusri_Bodhisattva,https://art.nelson-atkins.org/objects/29155/manjusri-bodhisattva;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=11
"Shakyamuni_Buddha_Attended_by_Bodhisattvas,_Monks,_and_Apsaras--A_Casing_Slab_from_a_Buddhist_Monument",https://art.nelson-atkins.org/objects/25957/shakyamuni-buddha-attended-by-bodhisattvas-monks-and-apsar;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=12
"Torso_of_a_Buddha,_probably_Shakyamuni_Buddha",https://art.nelson-atkins.org/objects/29200/torso-of-a-buddha-probably-shakyamuni-buddha;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=13
Stele_of_Shakyamuni_Buddha_Attended_by_Guanyin_Bodhisattva_and_Dashizhi_Bodhisattva,https://art.nelson-atkins.org/objects/26336/stele-of-shakyamuni-buddha-attended-by-guanyin-bodhisattva-a;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=15
