主体,介绍
Chair_Rug,Conventionalized flower design in dark and light blue and rosy tan on a golden yellow background.  Bands of blue in the border.
Chair_Rug,Conventionalized flower design in dark and light blue and rosy tan on a golden yellow background.  Bands of blue in the border.
Crowned_Shakyamuni_Buddha,Kuan Yin in red and yellow robes seated on lotus with two small guardian figures.
Lacquered_Table_with_Everted_Flanges,"Chinese Fair exhibition, Nelson-Atkins Museum of Art, October 11-November 1, 1944."
Rug,"Five medallions and floral design in light blue, white and shades of yellow on pinkish tan background.  Blue border."
Vase,Pewter vase inlaid with designs of birds and flowers in brass.
Varapala,"Standing figure, right arm raised, wearing a long flowing skirt, long scarves, and a necklace.  Hands and feet lacking.  Traces of red paint.  Wooden base."
Vase,Pewter vase inlaid with designs of birds and flowers in brass.
Ceiling_Relief_of_a_Flying_Apsara,"A group of flying apsaras, some with musical instruments, decorated the ceilings of some cave chapels at Tianlongshan.? The low relief, the shape of the face, emphasis on reiterated flowing linear rhythms, and certain na?vetés, such as the elongated fingers, are stylistic features that suggest the dating given above."
Buddhist_Stele_with_Scenes_from_the_Lotus_Sutra,"Stone carved in relief with scenes from the life of Buddha, and figures of bodhisattvas, attendants, monks, guardian lions, and other animals, figures of donors, and names of donors inscribed."
Samantabhadra_Bodhisattva,"Figure in blue and red robe seated sideways on a brown elephant, right hand resting on knee of bent right leg."
Manjusri_Bodhisattva,"Figure in a red robe seated sideways on a lion, with right hand raised, left leg bent. Lion painted blue"
"Shakyamuni_Buddha_Attended_by_Bodhisattvas,_Monks,_and_Apsaras--A_Casing_Slab_from_a_Buddhist_Monument","Art in Asia and the West, San Francisco Museum of Art,
October-December 1957.The Light of Asia: Buddha Sakyamuni
in Asian Art, Los
Angeles County Museum of Art, March 1-May 20, 1984; Art Institute of Chicago,
June 30-August 26, 1984; Brooklyn Museum of Art, November 1, 1984-February 10,
1985."
"Torso_of_a_Buddha,_probably_Shakyamuni_Buddha","Standing frontal figure with missing head, right hand, and feet.  Drapery is carved in relief with one end of the robe held in the left hand."
Stele_of_Shakyamuni_Buddha_Attended_by_Guanyin_Bodhisattva_and_Dashizhi_Bodhisattva,"Stele with a standing figure of a Shakyamuni Buddha accompanied by Kuan-Yin and Ta-Shih-Chih bodhisattvas, carved in high relief; below them are two small seated figures in the corners; above is a pictorial scene of the stupa of Prabhutaratna borne up by an atlantean figure, heavenly beings, and dragons.  On the reverse, the top shows a seated Buddha within each of two niches, one above the other, surmounted by intertwined dragons; below that is an inscription recording the name of a priest, Tao-lin, and 200 donors."
Verdant_Mountains,"Allen
Memorial Art Museum, Oberlin (OH) College. March-April 1954.Chinese Landscape Painting,Cleveland Museum of Art, November
4-December 26, 1954.Chinese Painting,Royal Ontario Museum, Toronto, May
7-June 10, 1956; National Gallery of Art, Ottawa, June 15-July 3, 1956.Oriental
Ceramic Society, Sung exhibition, Arts Council of Great Britain, June 15-July
23, 1960.Chinese Art,Smith College Museum of Art,
Northampton, Massachusetts, January 8-26, 1962.Oriental
art exhibition, Washington University, St. Louis, January 23-March 4, 1966.Man and His World,National Gallery of Canada, Ottawa
(organizer). Expo '67 (at the Fine Arts Gallery in Montreal) April 28-October
27, 1967.Eight Dynasties of Chinese Painting, Nelson-Gallery-Atkins Museum,
Kansas City, November 7, 1980 – January 4, 1981; The Cleveland Museum of Art,
February 7 – April 5, 1981; The Asia Society, December 3, 1981 – February 28,
1982; Tokyo National Museum, October 4 – November 17, 1982, no. 23.Masterpieces
of Early Chinese Painting and Calligraphy in American Collections, Shanghai
Museum, October 16, 2012- January 17, 2013, no. 2.2.Journey
through Mountains and Rivers: Chinese Landscapes Ancient and Modern, The
Nelson-Atkins Museum of Art, Kansas City, MO, February 8- April 28, 2013."
Travelers_in_Snow-Covered_Mountains,Mountain landscape with large towering peak in center background.  Group of pines in center foreground; stream and waterfall at right.  Travelers on horseback and on foot.
One_Hundred_Cranes_Imperial_Robe,"Bats and clouds in all over pattern in blue on brown brocade.  Embroidered with three large circles on front and back, one on each shoulder, with gold dragons.  Embroidered in satin stitch with landscape at the bottom, waves, pine trees and storks.  Body of coat embroidered in satin stitch.  Clouds and symbols of long life.  Black satin sleeves and lining are modern."
The_Assembly_of_Tejaprabha,"Henso type with great central Buddha seated cross-legged, flanked by numerous Bodhisattvas and their individual followers."
Illustration_to_the_Travels_of_Sudhana_from_the_Gandavyuha_of_the_Avatamaska_Sutra,"Sages and Heroes: Storytelling in Asian Art, The
Nelson-Atkins Museum of Art, Kansas City, MO, April 12, 2025–November 30, 2025,
no cat."
The_Transformations_of_Laojun,"Oriental
art exhibition, Washington University, St. Louis, January 23-March 4, 1966.Eight Dynasties of Chinese Painting, Nelson-Gallery-Atkins Museum,
Kansas City, November 7, 1980 – January 4, 1981; The Cleveland Museum of Art,
February 7 – April 5, 1981; The Asia Society, December 3, 1981 – February 28,
1982; Tokyo National Museum, October 4 – November 17, 1982, no. 18.Taoism and the Arts
of China,
The Art Institute of Chicago, Chicago, Illinois, November 11, 2000- January 7,
2001. Asian Art Museum of San Francisco, February 21- May 13, 2001,no. 35.La voie du Tao, Galeries nationales
du Grand Palais, Paris, France, March 29, 2010- July 5, 2010.no.
21.The
Sacred Tripod: Buddhism, Confucianism & Daoism in Harmony, The
Nelson-Atkins Museum of Art, Kansas City, February 19- August 14, 2011.Sages and Heroes: Storytelling in Asian Art, The
Nelson-Atkins Museum of Art, Kansas City, MO, April 12, 2025–November 30, 2025,
no cat."
Tray,"Four figures of seated men, a pig, a deer, a rooster, and a duck are painted in red with black outline on a white slip background.  Central motif of a crane, a fish, and some foliage in red, within a scalloped roundel."
Bowl,"One of a pair of small bowls, with a molded petal design inside, with scalloped edges, a cream glaze, and a small foot."
Seated_Bodhisattva,"Seated figure, left leg pendant, right leg bent, with foot touching left leg.  Left hand on left knee.  Wears Indian dhoti, necklace with pendant jewels, bracelet and long ribbons hanging from a headdress over the shoulders and arms.  Head is restored."
