主体,图片链接
Chair_Rug,https://art.nelson-atkins.org/internal/media/dispatcher/34953/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Chair_Rug,https://art.nelson-atkins.org/internal/media/dispatcher/34954/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Crowned_Shakyamuni_Buddha,https://art.nelson-atkins.org/internal/media/dispatcher/35456/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Lacquered_Table_with_Everted_Flanges,https://art.nelson-atkins.org/internal/media/dispatcher/29931/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Rug,https://art.nelson-atkins.org/internal/media/dispatcher/19387/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Vase,https://art.nelson-atkins.org/internal/media/dispatcher/59068/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Varapala,https://art.nelson-atkins.org/internal/media/dispatcher/135472/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Vase,https://art.nelson-atkins.org/internal/media/dispatcher/59066/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Ceiling_Relief_of_a_Flying_Apsara,https://art.nelson-atkins.org/internal/media/dispatcher/31990/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Buddhist_Stele_with_Scenes_from_the_Lotus_Sutra,https://art.nelson-atkins.org/internal/media/dispatcher/27631/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Samantabhadra_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/76640/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Manjusri_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/76639/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
"Shakyamuni_Buddha_Attended_by_Bodhisattvas,_Monks,_and_Apsaras--A_Casing_Slab_from_a_Buddhist_Monument",https://art.nelson-atkins.org/internal/media/dispatcher/27637/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
"Torso_of_a_Buddha,_probably_Shakyamuni_Buddha",https://art.nelson-atkins.org/internal/media/dispatcher/27621/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Stele_of_Shakyamuni_Buddha_Attended_by_Guanyin_Bodhisattva_and_Dashizhi_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/27620/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Verdant_Mountains,https://art.nelson-atkins.org/internal/media/dispatcher/36981/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Travelers_in_Snow-Covered_Mountains,https://art.nelson-atkins.org/internal/media/dispatcher/27571/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
One_Hundred_Cranes_Imperial_Robe,https://art.nelson-atkins.org/internal/media/dispatcher/108679/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
The_Assembly_of_Tejaprabha,https://art.nelson-atkins.org/internal/media/dispatcher/26446/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Illustration_to_the_Travels_of_Sudhana_from_the_Gandavyuha_of_the_Avatamaska_Sutra,https://art.nelson-atkins.org/internal/media/dispatcher/34624/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
The_Transformations_of_Laojun,https://art.nelson-atkins.org/internal/media/dispatcher/32544/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Tray,https://art.nelson-atkins.org/internal/media/dispatcher/26466/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208
Bowl,https://art.nelson-atkins.org/internal/media/dispatcher/52765/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C
Seated_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/31472/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C
Lady's_Coat_Panel,https://art.nelson-atkins.org/internal/media/dispatcher/119010/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C
Corner_Bracket_or_Table_Support_in_Animal_Form,https://art.nelson-atkins.org/internal/media/dispatcher/26456/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C
Pheasant,https://art.nelson-atkins.org/internal/media/dispatcher/152986/preview;jsessionid=481A1DFEC1DCD6C329ADCE7521D5A20C
Gamester_or_Storyteller,https://art.nelson-atkins.org/internal/media/dispatcher/32686/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Dog,https://art.nelson-atkins.org/internal/media/dispatcher/51071/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Warrior,https://art.nelson-atkins.org/internal/media/dispatcher/34946/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Central_Asian_Falconer,https://art.nelson-atkins.org/internal/media/dispatcher/32681/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Bowl,https://art.nelson-atkins.org/internal/media/dispatcher/52767/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Whiling_Away_the_Summer,https://art.nelson-atkins.org/internal/media/dispatcher/26305/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Three-storied_Watchtower,https://art.nelson-atkins.org/internal/media/dispatcher/26463/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
"Ceiling_Panels,_China,_Beijing,_Zhihua_Temple",https://art.nelson-atkins.org/internal/media/dispatcher/64725/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Standing_Guanyin_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/27641/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Dog,https://art.nelson-atkins.org/internal/media/dispatcher/51073/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Waiting_for_the_Ferry_in_the_Chilly_Mountains,https://art.nelson-atkins.org/internal/media/dispatcher/79148/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Model_of_a_Multi-Storied_Tower,https://art.nelson-atkins.org/internal/media/dispatcher/26455/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Torso_of_a_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/27634/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Ornament,https://art.nelson-atkins.org/internal/media/dispatcher/125456/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Spoon,https://art.nelson-atkins.org/internal/media/dispatcher/32684/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Surveillance_Commissioner_Zhang_Listens_to_Wind_and_Rain_in_the_Paulownia_Trees,https://art.nelson-atkins.org/internal/media/dispatcher/39676/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Small_Vase,https://art.nelson-atkins.org/internal/media/dispatcher/34961/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Palaces_in_Landscape,https://art.nelson-atkins.org/internal/media/dispatcher/76633/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Portal_Guardian,https://art.nelson-atkins.org/internal/media/dispatcher/31969/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Figurine,https://art.nelson-atkins.org/internal/media/dispatcher/51723/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Palace_in_Mountainous_Landscape,https://art.nelson-atkins.org/internal/media/dispatcher/76636/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Standing_Figure_of_a_Monk,https://art.nelson-atkins.org/internal/media/dispatcher/31487/preview;jsessionid=84FB6C9C6B4078A7B1CC0DAFD209109D
Tomb_Warrior,https://art.nelson-atkins.org/internal/media/dispatcher/51086/preview;jsessionid=402C9DDA5809769A912115866201F905
Lady_with_Bamboo,https://art.nelson-atkins.org/internal/media/dispatcher/37041/preview;jsessionid=402C9DDA5809769A912115866201F905
Cooking_Pot_with_Fish_in_Relief_on_Interior,https://art.nelson-atkins.org/internal/media/dispatcher/32685/preview;jsessionid=402C9DDA5809769A912115866201F905
Water_Coupe,https://art.nelson-atkins.org/internal/media/dispatcher/52762/preview;jsessionid=402C9DDA5809769A912115866201F905
Wine_Vessel,https://art.nelson-atkins.org/internal/media/dispatcher/34317/preview;jsessionid=402C9DDA5809769A912115866201F905
Waterspout,https://art.nelson-atkins.org/internal/media/dispatcher/76638/preview;jsessionid=402C9DDA5809769A912115866201F905
Bin,https://art.nelson-atkins.org/internal/media/dispatcher/51074/preview;jsessionid=402C9DDA5809769A912115866201F905
Mill,https://art.nelson-atkins.org/internal/media/dispatcher/51124/preview;jsessionid=402C9DDA5809769A912115866201F905
Tabouret,https://art.nelson-atkins.org/internal/media/dispatcher/26440/preview;jsessionid=402C9DDA5809769A912115866201F905
Ring,https://art.nelson-atkins.org/internal/media/dispatcher/65834/preview;jsessionid=402C9DDA5809769A912115866201F905
Water_Pot,https://art.nelson-atkins.org/internal/media/dispatcher/52766/preview;jsessionid=402C9DDA5809769A912115866201F905
Mill,https://art.nelson-atkins.org/internal/media/dispatcher/51123/preview;jsessionid=402C9DDA5809769A912115866201F905
Torso_of_a_Standing_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/31484/preview;jsessionid=402C9DDA5809769A912115866201F905
Dish,https://art.nelson-atkins.org/internal/media/dispatcher/52761/preview;jsessionid=402C9DDA5809769A912115866201F905
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/internal/media/dispatcher/29498/preview;jsessionid=402C9DDA5809769A912115866201F905
Mountainous_Landscape,https://art.nelson-atkins.org/internal/media/dispatcher/76637/preview;jsessionid=402C9DDA5809769A912115866201F905
Storehouse,https://art.nelson-atkins.org/internal/media/dispatcher/26462/preview;jsessionid=402C9DDA5809769A912115866201F905
Lady_in_the_Library,https://art.nelson-atkins.org/internal/media/dispatcher/41262/preview;jsessionid=402C9DDA5809769A912115866201F905
Inscribed_Oracle_Bone,https://art.nelson-atkins.org/internal/media/dispatcher/165018/preview;jsessionid=402C9DDA5809769A912115866201F905
Head_of_a_Bodhisattva,https://art.nelson-atkins.org/internal/media/dispatcher/31991/preview;jsessionid=402C9DDA5809769A912115866201F905
Guardian_Lion,https://art.nelson-atkins.org/internal/media/dispatcher/27623/preview;jsessionid=402C9DDA5809769A912115866201F905
Guanyin_of_the_Southern_Sea,https://art.nelson-atkins.org/internal/media/dispatcher/35452/preview;jsessionid=402C9DDA5809769A912115866201F905
Scabbard_Finial,https://art.nelson-atkins.org/internal/media/dispatcher/32731/preview;jsessionid=402C9DDA5809769A912115866201F905
Ornament,https://art.nelson-atkins.org/internal/media/dispatcher/125455/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Kalavinka_Musician,https://art.nelson-atkins.org/internal/media/dispatcher/125462/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Grain_Yard,https://art.nelson-atkins.org/internal/media/dispatcher/26464/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Door_Panels_from_a_Temple,https://art.nelson-atkins.org/internal/media/dispatcher/37216/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Ritual_Libation_Vessel_(gu),https://art.nelson-atkins.org/internal/media/dispatcher/27449/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Ritual_Wine_Vessel_(jia),https://art.nelson-atkins.org/internal/media/dispatcher/27448/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Torso_of_a_Bodhisattva_(one_of_a_pair),https://art.nelson-atkins.org/internal/media/dispatcher/26481/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Dog_and_Bamboo,https://art.nelson-atkins.org/internal/media/dispatcher/27573/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Grain_Mill,https://art.nelson-atkins.org/internal/media/dispatcher/51122/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Manchu_Hairpin,https://art.nelson-atkins.org/internal/media/dispatcher/65844/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Shakyamuni_Buddha,https://art.nelson-atkins.org/internal/media/dispatcher/79092/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
Vase,https://art.nelson-atkins.org/internal/media/dispatcher/51079/preview;jsessionid=E81865BA3139041C76B22BC6CA027947
