藏品名称,作者,年代,描述,图片链接,详情链接
Chinese Lady with Pekinese,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/EKWht/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/228520
Lady Wearing Chinese Dress,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/EqgSd/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/173375
Lady Playing the Chinese Lute,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/LYVbl/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/198144
Calligraphy of a Chinese Poem,Dokuryū ōbaku,,"?baku Dokuryü was a noted calligrapher and poet in his native China before he emigrated to Japan in 1653 to join the ?baku Zen temple Mampuki-ji, near Kyoto, Japan. His elegant and flowing calligraphy style strongly influenced his Japanese literati contemporaries.","https://iiif.micr.io/fugsO/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/216071
Chinese Lady Holding a Rose,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/rQiYX/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/173392
Sketchbook: Chinese Tradespeople and Craftsmen,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/NKynX/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/312539
Headdress for a Manchu Chinese Woman,Artist/maker unknown,Qing,"The delicate metal ornaments on this headdress, designed to move with every step, are decorated with bright blue feathers from kingfishers, small birds prized for their iridescent plumage. The bamboo, lingzhi fungus, and rocks depicted symbolize longevity, while the bats convey wishes of happiness. ","https://iiif.micr.io/CqdTP/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/55659
Six Episodes from Chinese Official Histories,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/kYqSG/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/42920
Sofa,Artist/maker unknown,Qing Dynasty (1644-1911),"The great-grandfather of the donor of this sofa reputedly had it made in China and brought it to Philadelphia in his own ship. The Chinese craftsmen based its design on a contemporary English model of an upholstered sofa, likely working from an illustration in one of the numerous design or manufacturing books that were circulated in the period.","https://iiif.micr.io/szFiX/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/58448
Chinese Lady Standing under Bamboo Tree,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/kjTkv/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/200916
Chinese Lady Dressed in Silk Robes,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/zzmia/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/224610
Female Musician Playing the Chinese Lute (Ruan),Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/GfecF/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/198136
Serving Tea to a Chinese Female Aristocrat,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/ToUFp/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/224604
Charger,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/NENEj/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/161042
Informal Court Dress for a Manchu Chinese Woman,Artist/maker unknown,,,"https://iiif.micr.io/vlvnk/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/59926
Chinese Lady Holding a Fan and Opium Pipe,Artist/maker unknown,Qing Dynasty (1644-1911),,"https://iiif.micr.io/MUmvN/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/173379
