藏品名称,作者,年代,描述,图片链接,详情链接
Guqin (古琴 ),Prince Lu,1634,"Many Ming-dynasty princes, starting with the sons of the founder and continuing until the last generation before the dynasty's fall in the mid-seventeenth century, were accomplished musicians, and some made important contributions to musicology and musical theory. The first prince of Lu (1568–1614), brother of Emperor Shenzhong (Wanli), was an immensely rich man, and hundreds of qin were made for his household and descendants in the last years of the Ming dynasty. Zhu Changfang (1608-1646), the last prince of Lu, commissioned hundreds of guqin . All bear the inscription of the Princedom of Lu, and all are numbered. About ten Prince Lu qin are extant; the one in the Metropolitan Museum, number 18, dated 1634, is the earliest. The highest-numbered Prince Lu qin known is number 295. It is dated 1644, the year the Ming dynasty came to an end.The back of the Museum's qin bears the maker's seal and date, the words ""Capital Peace,"" and a twenty-character poem by Jingyi Zhuren (d. 1670) that reads:The moonlight is being reflected by the river YangziA light breeze is blowing over clear dewdrops,Only in a tranquil placeCan one comprehend the feeling of eternity.Endowed with cosmological and metaphysical significance and empowered to communicate the deepest feelings, the qin, beloved of sages and of Confucius, is the most prestigious instrument in China. Han-dynasty writers state that the qin helped to cultivate character, understand morality, supplicate gods and demons, enhance life, and enrich learning. Ming-dynasty literati who claimed the right to play the qin suggested that it be played outdoors in a mountain setting, a garden, a small pavillion, or near an old pine tree (symbol of longevity) while burning incense to perfume the air. A serene moonlit night was considered an appropriate time for performance. Each part of the instrument is identified by an anthropomorphic or zoomorphic name and cosmology is ever present: for example, the upper board of wutong wood symbolizes heaven, the bottom board of zi wood symbolizes earth. Qins over a hundred years old are considered best, the age determined by the pattern of cracks (duanwen) in the lacquer. The thirteen studs (hui) indicate finger positions. Strings of varying thicknesses are made of twisted silk.",https://images.metmuseum.org/CRDImages/mi/mobile-large/DP302703.jpg,https://www.metmuseum.org/en/art/collection/search/503523
Archer's Ring (清   扳指),Wen Zhao,17th–19th century,"In Manchu archery, the bowstring is pulled back with the thumb of the right hand, making a thumb ring essential both to protect the thumb and to ensure a smooth release of the arrow. In addition to their practical function, thumb rings were also worn regularly as personal adornment. All Manchu archers, even the highest ranking aristocrats, favored plain thumb rings of bone or antler for use in hunting and warfare. At other times, however, they wore thumb rings that were highly decorated and made of fragile or precious materials, such as jade, amber or ivory.This ring is inscribed with a line of poetry by Su Shi (1037–1101), a major figure of the Song dynasty, and the name of the ivory carver:The chirping swallows from the eminent Xie family gather at the magnificent hall. Carved by Wen Zhao.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP-840-001.jpg,https://www.metmuseum.org/en/art/collection/search/30225
Goqing,Chinese,19th century,"Carefully incised veins suggest a downwardly curving lotus leaf of dark nephrite jade. The goqing once sounded to announce the arrival and rank of a guest or to denote the length of a pause following the completion of a musical piece. The great importance of sonorous substances, such as wood and stones, among the percussion instruments of the Far East stems from the religious belief that nature itself speaks to the human ear through this vibrating matter.",https://images.metmuseum.org/CRDImages/mi/mobile-large/DP216549.jpg,https://www.metmuseum.org/en/art/collection/search/500637
Liberty,Chinese Painter,ca. 1800,,https://images.metmuseum.org/CRDImages/ad/mobile-large/DP-35722-001.jpg,https://www.metmuseum.org/en/art/collection/search/12928
Pipa (琵琶 ),Chinese,late 16th–early 17th century,"The pear-shaped lute slowly migrated from Central Asia into China during the Han and Sui dynasties (1st-7th century). It eventually became the pipa; the term describes the original playing motion of the plectrum held in the performer's right hand: p'i, ""to play forward"" (toward the left), and p'a, ""to play backward"" (toward the right). Until the mid-tenth century, the pipa was held horizontally (guitar style), and its twisted silk strings were plucked with a large triangular plectrum. Toward the end of the Tang dynasty, musicians began using their fingernails to execute the exuberant and programmatic repertory that was gaining popularity and that became the national style. To facilitate the use of the fingers, the instrument began to be held in a more upright position. In addition to its use in the opera and in storytelling ensembles, the pipa has a solo repertory of highly programmatic, virtuosic music.The spectacular back and sides of this unique Ming-dynasty instrument feature more than 110 hexagonal ivory plaques, with thinner bone plaques on the neck. Each plaque is carved with Taoist, Confucian, or Buddhist figures and symbols signifying prosperity, happiness, and good luck. These include images of various gods and immortals, such as Shou Lao, the Daoist god of longevity, who is shown with a prominent forehead on the single plaque at the very top. When the instrument is played, this expert workmanship remains unseen by the listener, as the back faces the player. The front is relatively plain but shows signs of use. The ivory string holder bears a scene featuring four figures and a bridge; an archaic cursive inscription; and, at the lip, a bat motif with leafy tendrils. Above the lower frets, two small insets depict a spider and a bird, and just before the rounded upper frets, a trapezoidal plaque portrays two men, one with a fish. The finial repeats the bat (good luck) motif.",https://images.metmuseum.org/CRDImages/mi/mobile-large/DP319739.jpg,https://www.metmuseum.org/en/art/collection/search/503651
Dung-Chen,Chinese,1368–1644,"Although Confucianism remained the basis for the structure of government in China, it was Buddhism, introduced in the first century B.C.E., which flourished from the Han to the Tang (206 B.C.E.–C.E. 907). Among the instruments associated with Buddhism was the dung-chen, a long trumpet played for preludes, processions, and morning and evening calls to prayer. It was unusual for musical instruments to be enameled; cloisonné was usually reserved for containers, such as boxes or vases. This Tibetan-style long trumpet was among the many instruments made in China and sent as gifts to impress officials of bordering nations. Gifts of musical instruments and the musicians who played them were common in east Asia. This political custom promoted the dissemination of musical ideas. The dung-chen, like many Asian trumpets, collapses for storage.",https://images.metmuseum.org/CRDImages/mi/mobile-large/mi1988.349.R.jpg,https://www.metmuseum.org/en/art/collection/search/503348
Saddle (清    馬鞍一套),Chinese,17th–18th century,"In terms of quality and style of workmanship this saddle is extremely similar to some of the best imperial Chinese saddles, such as one owned by the emperor Qianlong (r. 1736–96) and preserved in the Palace Museum, Beijing (G.171546). In addition to its very high quality, this saddle is also exceptional for having all of its original parts, including the elaborate seat cover of embroidered silk and the fittings of the saddletree. Although this type of saddle is often identified as Tibetan, the form of the saddle plates, the style of workmanship, and the type of saddletree, along with the similarity to imperial Chinese saddles, indicate it is more likely to be Chinese, perhaps from the imperial workshops. That it was used in Tibet, however, is demonstrated by the Tibetan letterka, which is branded on the underside of the saddletree as a form of inventory number. It must have belonged to a Tibetan nobleman of the highest rank, possibly received as a gift directly from the imperial court. The saddle plates are made from relatively thick iron, deeply chiseled and pierced, the motifs densely arranged so that the gaps in the scrollwork are narrow. The plates are finely crosshatched and damascened overall with a thick layer of gold foil. The beads of coral and ivory in the center of the pommel and cantle are popular Buddhist symbols called the Three Jewels, representing Buddha, Dharma (Buddhist teachings), and Sangha (the community of believers).",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP113291.jpg,https://www.metmuseum.org/en/art/collection/search/26642
Sword with Scabbard Mounts,Chinese,ca. 600,"This sword is said to have been found in an imperial tomb at Mang Shan, north of Luoyang, Henan Province. The ring pommel encloses a phoenix head.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP101367.jpg,https://www.metmuseum.org/en/art/collection/search/23351
Archer's Ring (清   扳指),Chinese,17th–19th century,"In Manchu archery, the bowstring is pulled back with the thumb of the right hand, making a thumb ring essential both to protect the thumb and to ensure a smooth release of the arrow. In addition to their practical function, thumb rings were also worn regularly as personal adornment. All Manchu archers, even the highest ranking aristocrats, favored plain thumb rings of bone or antler for use in hunting and warfare. At other times, however, they wore thumb rings that were highly decorated and made of fragile or precious materials, such as jade, amber or ivory.",https://images.metmuseum.org/CRDImages/aa/mobile-large/DP-839-001.jpg,https://www.metmuseum.org/en/art/collection/search/30219
Archer's Ring (清   扳指),Chinese,17th–19th century,"In Manchu archery, the bowstring is pulled back with the thumb of the right hand, making a thumb ring essential both to protect the thumb and to ensure a smooth release of the arrow. In addition to their practical function, thumb rings were also worn regularly as personal adornment. All Manchu archers, even the highest ranking aristocrats, favored plain thumb rings of bone or antler for use in hunting and warfare. At other times, however, they wore thumb rings that were highly decorated and made of fragile or precious materials, such as jade, amber or ivory.",https://images.metmuseum.org/CRDImages/aa/mobile-large/PHOTS-837.jpg,https://www.metmuseum.org/en/art/collection/search/30188
