藏品名称,藏品来源,年代,介绍,图片链接,详情链接
 Teapot,Gift of Dr. and Mrs. Charles A. Breitenbach,undated,"This is a Ceramic Teapot, made of Longquan ware. Its accession number is 1995.98, and its dimensions are 3 3/16 in. x 3 3/4 in. x 5 1/4 in. (8.1 cm x 9.53 cm x 13.34 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1995.98.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&objectName= Teapot
"""All Victorious"" Guanyin Bodhisattva",Museum purchase with funds provided by the Helen M. Towle Bequest,1147-1172,"This is a Copper Sculpture, made of Copper. Its accession number is 1941.83, and its dimensions are 19 1/4 in. x 4 11/16 in. x 2 5/8 in. (48.9 cm x 11.91 cm x 6.67 cm).",https://collection.sdmart.org/Media/Previews/1941-1950_Embark_Object_Photos/1941-83.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=2&objectName=""All Victorious"" Guanyin Bodhisattva"
2000.5.5,Museum purchase with funds from an anonymous donor,2000,"This is a Woodblock print, made of Woodblock print on paper. Its accession number is 2019.26, and its dimensions are 47 3/4 x 31 7/8 in. (121 x 81 cm).",https://collection.sdmart.org/Media/Previews/2011-2020_Embark_Object_Photos/2019-26.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=3&objectName=2000.5.5
A Divine Gift of One Hundred Honors,Museum purchase with funds provided by Rosalyn and Daniel Jacobs,undated,"This is a Scroll Painting, made of Ink and colors on silk, hanging scroll. Its accession number is 2002.2, and its dimensions are 76 3/4 in. x 44 1/8 in. (194.95 cm x 112.08 cm).",https://collection.sdmart.org/Media/Previews/2001-2010_Embark_Object_Photos/2002-2.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=4&objectName=A Divine Gift of One Hundred Honors
A Hermitage,"Gift of Mr. S. M. Hsiao, Hong Kong",18th century,"This is a Hanging Scroll Painting, made of Ink and color on paper, hanging scroll. Its accession number is 1964.71.16, and its dimensions are 42 3/8  x 18 3/8 in. (107.63  x 46.67 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1964-71-16.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=5&objectName=A Hermitage
A Mandarin's Autumn Hat (with plumage),Gift of Mrs. Harold Ahlquist,19th century,"This is a Silk Hat, made of Silk. Its accession number is 1945.16.a, and its dimensions are 6 in. x 9 1/2 in. x 8 1/2 in. (15.24 cm x 24.13 cm x 21.59 cm).",https://collection.sdmart.org/Media/Previews/1941-1950_Embark_Object_Photos/1945.16.a.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=6&objectName=A Mandarin's Autumn Hat (with plumage)
"A Native Detective, Foochow","MoPA - Gift of Lillick, McHose & Charles",c. 1870,"This is a photograph, made of carbon on paper. Its accession number is M.1986.028.003, and its dimensions are 4 7/8 x 3 7/8 in. (123.83 x 98.43 mm).",https://collection.sdmart.org/Media/Previews/MOPA_Embark_Object_Photos/Color Corrected JPG/1981-1990_MOPA_JPG_Embark_Object/M.1986.028.003(8x6_AdobeRGB.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=7&objectName=A Native Detective, Foochow"
"A Picture of Ancient Trees, Rock, and Bamboo ","Gift of Mr. S. M. Hsiao, Hong Kong",1623,"This is a Scroll Painting, made of Ink on paper, hanging scroll. Its accession number is 1964.71.10, and its dimensions are 48 3/4  x 22 3/8 in. (123.83  x 56.83 cm).",https://collection.sdmart.org/Media/Previews/1961-1970_Embark_Object_Photos/1964.71.10.png,"https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=8&objectName=A Picture of Ancient Trees, Rock, and Bamboo "
A Smile in the Dream,Gift of Ambassador and  Mrs. Everett F. Drumright,1961,"This is a Calligraphy Album, made of Ink on paper. Its accession number is 1995.1.14, and its dimensions are 4 3/4 in. x 3 5/8 in. (12.07 cm x 9.21 cm).",https://collection.sdmart.org/Media/Previews/1991-2000_Embark_Object_Photos/1995-1-14.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=9&objectName=A Smile in the Dream
Album of Eight Landscapes,Gift of Dr. and Mrs. Melvin G. Goldzband,1822,"This is a Painting Folio, made of Ink and color on silk. Its accession number is 1976.136.1-8, and its dimensions are 1 x 6 3/8 x 9 3/4 in. (3 x 16 x 25 cm).",https://collection.sdmart.org/Media/Previews/1971-1980_Embark_Object_Photos/1976-136-a.png,https://collection.sdmart.org/objects-1/info?query=Creation_Place2%20has%20words%20%22china%22&sort=9&page=10&objectName=Album of Eight Landscapes
