藏品名称,藏品来源,年代,介绍,图片链接,详情链接
Chair Rug,Purchase: William Rockhill Nelson Trust,Qing dynasty (1644-1911),Conventionalized flower design in dark and light blue and rosy tan on a golden yellow background.  Bands of blue in the border.,https://art.nelson-atkins.org/internal/media/dispatcher/34953/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/15259/chair-rug;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=0
Chair Rug,Purchase: William Rockhill Nelson Trust,Qing dynasty (1644-1911),Conventionalized flower design in dark and light blue and rosy tan on a golden yellow background.  Bands of blue in the border.,https://art.nelson-atkins.org/internal/media/dispatcher/34954/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/26631/chair-rug;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=1
Crowned Shakyamuni Buddha,Purchase: William Rockhill Nelson Trust,Ming dynasty (1368-1644),Kuan Yin in red and yellow robes seated on lotus with two small guardian figures.,https://art.nelson-atkins.org/internal/media/dispatcher/35456/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/13786/crowned-shakyamuni-buddha;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=2
Lacquered Table with Everted Flanges,Purchase: William Rockhill Nelson Trust,Kangxi period (1662-1722),"Chinese Fair exhibition, Nelson-Atkins Museum of Art, October 11-November 1, 1944.",https://art.nelson-atkins.org/internal/media/dispatcher/29931/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/10444/lacquered-table-with-everted-flanges;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=3
Rug,Purchase: William Rockhill Nelson Trust,18th century,"Five medallions and floral design in light blue, white and shades of yellow on pinkish tan background.  Blue border.",https://art.nelson-atkins.org/internal/media/dispatcher/19387/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/16447/rug;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=4
Vase,Purchase: William Rockhill Nelson Trust,Ming dynasty (1368-1644),Pewter vase inlaid with designs of birds and flowers in brass.,https://art.nelson-atkins.org/internal/media/dispatcher/59068/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/19482/vase;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=5
Varapala,Purchase: William Rockhill Nelson Trust,Song dynasty (960-1279),"Standing figure, right arm raised, wearing a long flowing skirt, long scarves, and a necklace.  Hands and feet lacking.  Traces of red paint.  Wooden base.",https://art.nelson-atkins.org/internal/media/dispatcher/135472/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/9406/varapala;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=6
Vase,Purchase: William Rockhill Nelson Trust,Ming dynasty (1368-1644),Pewter vase inlaid with designs of birds and flowers in brass.,https://art.nelson-atkins.org/internal/media/dispatcher/59066/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/7427/vase;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=7
Ceiling Relief of a Flying Apsara,Purchase: William Rockhill Nelson Trust,ca. 570 C.E.,"A group of flying apsaras, some with musical instruments, decorated the ceilings of some cave chapels at Tianlongshan.? The low relief, the shape of the face, emphasis on reiterated flowing linear rhythms, and certain na?vetés, such as the elongated fingers, are stylistic features that suggest the dating given above.",https://art.nelson-atkins.org/internal/media/dispatcher/31990/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/22804/ceiling-relief-of-a-flying-apsara;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=8
Buddhist Stele with Scenes from the Lotus Sutra,Purchase: William Rockhill Nelson Trust,ca. 537 C.E.,"Stone carved in relief with scenes from the life of Buddha, and figures of bodhisattvas, attendants, monks, guardian lions, and other animals, figures of donors, and names of donors inscribed.",https://art.nelson-atkins.org/internal/media/dispatcher/27631/preview;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208,https://art.nelson-atkins.org/objects/29963/buddhist-stele-with-scenes-from-the-lotus-sutra;jsessionid=A2D0A1D12BA0AA2BA82ACFC1C7C14208?ctx=b088b132-d2c0-4e2c-9eb0-ff58f936e3ba&idx=9
